command,description
setpos -192.000000 1696.000000 88.765549;setang -30.041077 -108.799324 0.000000,Insta mid spawn 1
setpos -256.000183 1727.635254 88.927467;setang -29.162729 -106.963852 0.000000,Insta mid spawn 2
setpos -352.000000 1728.000000 91.644173;setang -29.543274 -105.257950 0.000000,Insta mid spawn 3
setpos -448.000000 1728.000000 93.338501;setang -29.037676 -103.017082 0.000000,Insta mid spawn 4
setpos -512.000000 1696.000000 88.755035;setang -30.877075 -101.814423 0.000000,Insta mid spawn 5
,
setpos 1255.968750 -1479.968750 83.832565;setang -11.334518 110.762878 0.000000,Cave from Ruins
setpos 1255.968750 -1479.968750 82.213989;setang -5.380337 93.456940 0.000000,Back Alley from Ruins
setpos 1255.968750 -1479.972534 83.790070;setang -11.477521 109.402702 0.000000,B Alley from Ruins
